上榜日,股票,代码,买日,买价,卖日,卖价,盈亏%,净买万,换手%,20日涨,RSI,连板
2025-05-08,上海凤凰,600679,2025-05-09,13.6,2025-05-12,13.36,-1.76,3336.0,9.4,25,72,1
2024-09-23,湖南天雁,600698,2024-09-24,4.71,2024-09-25,4.57,-2.97,3227.0,7.6,27,72,1
2023-04-12,天津港,600717,2023-04-13,4.12,2023-04-14,4.17,1.21,8405.0,5.1,6,61,1
2025-10-23,山西焦化,600740,2025-10-24,4.45,2025-10-27,4.27,-4.04,6353.0,6.8,12,76,1
2025-03-05,海航科技,600751,2025-03-06,2.76,2025-03-07,2.97,7.61,3402.0,3.6,8,63,1
2025-11-24,中国海防,600764,2025-11-25,33.15,2025-11-26,32.31,-2.53,4474.0,5.5,9,60,1
2025-06-20,西藏城投,600773,2025-06-23,9.89,2025-06-24,9.79,-1.01,5890.0,4.4,12,85,1
2025-04-17,保税科技,600794,2025-04-18,4.37,2025-04-21,4.83,10.53,3587.0,8.3,17,67,1
2025-08-05,马钢股份,600808,2025-08-06,3.8,2025-08-07,4.1,7.89,9457.0,3.3,9,66,1
2024-12-02,马钢股份,600808,2024-12-03,2.62,2024-12-04,2.62,0.0,8100.0,3.8,11,67,1
2024-04-11,厦工股份,600815,2024-04-12,2.86,2024-04-15,2.86,0.0,5455.0,3.8,15,75,1
2024-11-11,建元信托,600816,2024-11-12,4.16,2024-11-13,3.87,-6.97,8148.0,3.5,24,76,1
2025-12-25,益民集团,600824,2025-12-26,5.3,2025-12-29,4.95,-6.6,4778.0,5.7,13,64,1
2025-06-23,金煤科技,600844,2025-06-24,3.55,2025-06-25,3.55,0.0,3782.0,9.6,15,69,1
2025-04-01,金煤科技,600844,2025-04-02,3.1,2025-04-03,2.95,-4.84,6658.0,3.3,12,60,1
2023-12-11,同济科技,600846,2023-12-12,9.73,2023-12-13,10.05,3.29,3840.0,4.2,5,56,1
2023-09-07,电科数字,600850,2023-09-08,24.81,2023-09-11,25.05,0.97,14890.0,3.9,11,75,1
2025-05-29,远东股份,600869,2025-05-30,5.28,2025-06-03,4.99,-5.49,5986.0,4.2,13,65,1
2025-11-20,亚泰集团,600881,2025-11-21,2.16,2025-11-24,2.13,-1.39,8642.0,6.7,12,67,1
2025-08-18,亚泰集团,600881,2025-08-19,2.23,2025-08-20,2.23,0.0,3434.0,5.9,14,80,1
2024-10-28,重庆建工,600939,2024-10-29,4.31,2024-10-30,3.98,-7.66,3741.0,5.3,86,71,1
2025-09-05,中国电影,600977,2025-09-08,15.27,2025-09-09,17.21,12.7,7092.0,5.4,9,67,1
2025-02-20,贵绳股份,600992,2025-02-21,15.35,2025-02-24,15.36,0.07,3392.0,7.0,14,70,1
2025-07-17,柳钢股份,601003,2025-07-18,5.54,2025-07-21,6.15,11.01,14868.0,6.1,59,71,1
2025-07-15,柳钢股份,601003,2025-07-16,5.38,2025-07-17,4.92,-8.55,7708.0,7.0,56,75,1
2025-04-03,连云港,601008,2025-04-07,4.34,2025-04-08,4.84,11.52,3577.0,6.9,16,72,1
2023-12-25,华钰矿业,601020,2023-12-26,9.69,2023-12-27,9.85,1.65,3405.0,6.3,6,69,1
2025-06-18,福元医药,601089,2025-06-19,18.36,2025-06-20,17.31,-5.72,5405.0,7.0,18,79,1
2024-04-26,太平洋,601099,2024-04-29,3.36,2024-04-30,3.62,7.74,5035.0,8.1,6,62,1
2025-12-19,中国一重,601106,2025-12-22,4.0,2025-12-23,4.2,5.0,14561.0,3.1,26,67,1
2023-09-14,赛力斯,601127,2023-09-15,46.86,2023-09-18,47.36,1.07,30993.0,3.8,29,78,1
2025-11-19,英利汽车,601279,2025-11-20,5.75,2025-11-21,6.36,10.61,4735.0,3.1,18,74,1
2023-07-28,中原证券,601375,2023-07-31,4.45,2023-08-01,4.32,-2.92,3523.0,8.0,17,84,1
2023-03-08,上海电影,601595,2023-03-09,12.26,2023-03-10,12.34,0.65,3440.0,4.4,14,85,1
2025-10-09,中国核建,601611,2025-10-10,10.02,2025-10-13,10.9,8.78,4250.0,4.1,11,74,1
2025-09-02,京运通,601908,2025-09-03,4.26,2025-09-04,4.25,-0.23,7370.0,5.9,13,74,1
2025-09-08,招商南油,601975,2025-09-09,3.28,2025-09-10,3.26,-0.61,10151.0,9.2,16,82,1
2023-03-14,晶方科技,603005,2023-03-15,23.98,2023-03-16,24.99,4.21,7158.0,8.8,8,68,1
