代码,名称,上榜日,涨跌幅,换手率,净买额,净买占成交,龙虎额占市场,流通市值,买占比,收益,盈利
002126,银轮股份,2026-02-04,10.0051,7.5611,23661.008829,9.163357585942,3017.068018487408,34268919910.92,0.6518586510113883,1.3100436681222627,True
002126,银轮股份,2025-09-18,0.2278,12.4958,18709.519248,2.7117253441405,2492.8286698003444,34504498028.0,0.5543905278568079,-6.963788300835649,False
002126,银轮股份,2025-03-04,10.013,14.2606,34391.027608,9.404760113439062,5134.796786868461,26445546389.07,0.591578698279652,-1.0898379970545102,False
002126,银轮股份,2025-02-21,10.0,2.3134,-3185.790567,-0.8782398582220158,3385.1123824858705,23717099859.75,0.4870279069202264,-3.693444136657442,False
002261,拓维信息,2026-03-09,10.0128,29.7466,88018.943542,4.134942830626811,1640.2426765177186,49223504891.76,0.6260466786355483,-1.5183867141162488,False
002261,拓维信息,2026-03-09,10.0128,29.7466,-6339.353150999999,-0.4594387562213583,1761.846639878018,49223504891.76,0.4869614430160286,-1.5183867141162488,False
002261,拓维信息,2026-03-06,10.0,17.8188,90211.506797,12.046544767856066,2134.6181363656087,44743432635.55,0.782170955137823,6.735882501899204,True
002261,拓维信息,2026-02-27,10.0,8.1707,56730.72822899999,16.876450634243156,2513.4390361588835,41844562352.12,0.8357242883446714,-0.8769525897506125,False
002261,拓维信息,2025-12-29,10.0,15.4798,85689.976471,14.58667001518417,2647.072919734992,38688677529.37,0.775524521943364,-0.7352941176470562,False
002261,拓维信息,2025-08-28,6.7797,27.3402,65470.11289,1.9143174554990965,1460.7695059823166,50542058851.2,0.5655242818137755,-6.645497845316417,False
002261,拓维信息,2025-08-26,9.9973,11.6047,69377.60567799999,13.329291099693172,2054.0697356500286,46152578456.64,0.8244605299506786,-1.362862010221466,False
002261,拓维信息,2025-04-25,10.0145,16.8232,72905.771591,12.903258260558378,2358.421190909632,34691563020.56,0.7735571218214347,0.8025682182985605,True
002261,拓维信息,2025-04-17,10.0,12.4146,20597.3311,5.288907830105947,2104.690422129489,32354205134.46,0.6256457428250831,0.868055555555558,True
002261,拓维信息,2025-03-07,-10.005,33.9712,-66055.225052,-4.547903661029435,1434.55181944665,40982936419.32,0.3414869508588508,-4.626738575078049,False
